Starting Q-learning controller with interval=5s
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=34.00; Q=6.800; epsilon=0.200
State=(1, 1, 4, 'balanced'); profile=protected; reward=33.50; Q=6.700; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=6.800; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=13.464; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=19.995; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=26.395; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=32.667; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=38.814; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=44.837; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=50.741; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=56.526; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=62.195; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=67.751; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=73.196; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=78.532; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=83.762; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=88.887; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=93.909; epsilon=0.200
State=(1, 1, 4, 'protected'); profile=protected; reward=34.00; Q=98.831; epsilon=0.200
