Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 59942
[  5]   5.00-6.00   sec   122 KBytes   996 Kbits/sec  0.056 ms  0/86 (0%)  
[  5]   6.00-7.00   sec   123 KBytes  1.01 Mbits/sec  0.025 ms  0/87 (0%)  
[  5]   7.00-8.00   sec   122 KBytes   996 Kbits/sec  0.024 ms  0/86 (0%)  
[  5]   8.00-9.00   sec   122 KBytes   996 Kbits/sec  0.027 ms  0/86 (0%)  
[  5]   9.00-10.00  sec   123 KBytes  1.01 Mbits/sec  0.022 ms  0/87 (0%)  
[  5]  10.00-11.00  sec   122 KBytes   996 Kbits/sec  0.033 ms  0/86 (0%)  
[  5]  11.00-12.00  sec   122 KBytes   996 Kbits/sec  0.026 ms  0/86 (0%)  
[  5]  12.00-13.00  sec   123 KBytes  1.01 Mbits/sec  0.031 ms  0/87 (0%)  
[  5]  13.00-14.00  sec   122 KBytes   996 Kbits/sec  0.017 ms  0/86 (0%)  
[  5]  14.00-15.00  sec   122 KBytes   996 Kbits/sec  0.019 ms  0/86 (0%)  
[  5]  15.00-16.00  sec   123 KBytes  1.01 Mbits/sec  0.030 ms  0/87 (0%)  
[  5]  16.00-17.00  sec   122 KBytes   996 Kbits/sec  0.034 ms  0/86 (0%)  
[  5]  17.00-18.00  sec   122 KBytes   996 Kbits/sec  0.039 ms  0/86 (0%)  
[  5]  18.00-19.00  sec   123 KBytes  1.01 Mbits/sec  0.032 ms  0/87 (0%)  
[  5]  19.00-20.00  sec   122 KBytes   996 Kbits/sec  0.028 ms  0/86 (0%)  
[  5]  20.00-21.00  sec   122 KBytes   996 Kbits/sec  0.022 ms  0/86 (0%)  
[  5]  21.00-22.00  sec   123 KBytes  1.01 Mbits/sec  0.026 ms  0/87 (0%)  
[  5]  22.00-23.00  sec   122 KBytes   996 Kbits/sec  0.032 ms  0/86 (0%)  
[  5]  23.00-24.00  sec   122 KBytes   996 Kbits/sec  0.043 ms  0/86 (0%)  
[  5]  24.00-25.00  sec   123 KBytes  1.01 Mbits/sec  0.036 ms  0/87 (0%)  
[  5]  25.00-26.00  sec   122 KBytes   996 Kbits/sec  0.022 ms  0/86 (0%)  
[  5]  26.00-27.00  sec   122 KBytes   996 Kbits/sec  0.028 ms  0/86 (0%)  
[  5]  27.00-28.00  sec   123 KBytes  1.01 Mbits/sec  0.021 ms  0/87 (0%)  
[  5]  28.00-29.00  sec   122 KBytes   996 Kbits/sec  0.040 ms  0/86 (0%)  
[  5]  29.00-30.00  sec   122 KBytes   996 Kbits/sec  0.038 ms  0/86 (0%)  
[  5]  30.00-31.00  sec   123 KBytes  1.01 Mbits/sec  0.033 ms  0/87 (0%)  
[  5]  31.00-32.00  sec   122 KBytes   996 Kbits/sec  0.040 ms  0/86 (0%)  
[  5]  32.00-33.00  sec   122 KBytes   996 Kbits/sec  0.047 ms  0/86 (0%)  
