Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 39114
[  5]   5.00-6.00   sec   243 KBytes  1.99 Mbits/sec  0.424 ms  0/172 (0%)  
[  5]   6.00-7.00   sec   245 KBytes  2.00 Mbits/sec  0.379 ms  0/173 (0%)  
[  5]   7.00-8.00   sec   245 KBytes  2.00 Mbits/sec  0.484 ms  0/173 (0%)  
[  5]   8.00-9.00   sec   243 KBytes  1.99 Mbits/sec  0.266 ms  0/172 (0%)  
[  5]   9.00-10.00  sec   245 KBytes  2.00 Mbits/sec  0.233 ms  0/173 (0%)  
[  5]  10.00-11.00  sec   245 KBytes  2.00 Mbits/sec  0.242 ms  0/173 (0%)  
[  5]  11.00-12.00  sec   243 KBytes  1.99 Mbits/sec  0.235 ms  0/172 (0%)  
[  5]  12.00-13.00  sec   245 KBytes  2.00 Mbits/sec  0.255 ms  0/173 (0%)  
[  5]  13.00-14.00  sec   245 KBytes  2.00 Mbits/sec  0.209 ms  0/173 (0%)  
[  5]  14.00-15.00  sec   243 KBytes  1.99 Mbits/sec  0.262 ms  0/172 (0%)  
[  5]  15.00-16.00  sec   245 KBytes  2.00 Mbits/sec  0.239 ms  0/173 (0%)  
[  5]  16.00-17.00  sec   243 KBytes  1.99 Mbits/sec  0.258 ms  0/172 (0%)  
[  5]  17.00-18.00  sec   245 KBytes  2.00 Mbits/sec  0.227 ms  0/173 (0%)  
[  5]  18.00-19.00  sec   245 KBytes  2.00 Mbits/sec  0.267 ms  0/173 (0%)  
[  5]  19.00-20.00  sec   243 KBytes  1.99 Mbits/sec  0.244 ms  0/172 (0%)  
[  5]  20.00-21.00  sec   245 KBytes  2.00 Mbits/sec  0.259 ms  0/173 (0%)  
[  5]  21.00-22.00  sec   245 KBytes  2.00 Mbits/sec  0.239 ms  0/173 (0%)  
[  5]  22.00-23.00  sec   243 KBytes  1.99 Mbits/sec  0.255 ms  0/172 (0%)  
[  5]  23.00-24.00  sec   245 KBytes  2.00 Mbits/sec  0.281 ms  0/173 (0%)  
[  5]  24.00-25.00  sec   245 KBytes  2.00 Mbits/sec  0.268 ms  0/173 (0%)  
[  5]  25.00-26.00  sec   243 KBytes  1.99 Mbits/sec  0.213 ms  0/172 (0%)  
[  5]  26.00-27.00  sec   245 KBytes  2.00 Mbits/sec  0.277 ms  0/173 (0%)  
[  5]  27.00-28.00  sec   245 KBytes  2.00 Mbits/sec  0.281 ms  0/173 (0%)  
[  5]  28.00-29.00  sec   243 KBytes  1.99 Mbits/sec  0.228 ms  0/172 (0%)  
[  5]  29.00-30.00  sec   245 KBytes  2.00 Mbits/sec  0.242 ms  0/173 (0%)  
[  5]  30.00-31.00  sec   245 KBytes  2.00 Mbits/sec  0.241 ms  0/173 (0%)  
[  5]  31.00-32.00  sec   243 KBytes  1.99 Mbits/sec  0.242 ms  0/172 (0%)  
[  5]  32.00-33.00  sec   245 KBytes  2.00 Mbits/sec  0.234 ms  0/173 (0%)  
[  5]  33.00-34.00  sec   245 KBytes  2.00 Mbits/sec  0.205 ms  0/173 (0%)  
[  5]  34.00-35.00  sec   243 KBytes  1.99 Mbits/sec  0.243 ms  0/172 (0%)  
[  5]  35.00-36.00  sec   245 KBytes  2.00 Mbits/sec  0.309 ms  0/173 (0%)  
[  5]  36.00-37.00  sec   245 KBytes  2.00 Mbits/sec  0.219 ms  0/173 (0%)  
[  5]  37.00-38.00  sec   243 KBytes  1.99 Mbits/sec  0.267 ms  0/172 (0%)  
[  5]  38.00-39.00  sec   245 KBytes  2.00 Mbits/sec  0.219 ms  0/173 (0%)  
[  5]  39.00-40.00  sec   245 KBytes  2.00 Mbits/sec  0.215 ms  0/173 (0%)  
[  5]  40.00-41.00  sec   243 KBytes  1.99 Mbits/sec  0.256 ms  0/172 (0%)  
[  5]  41.00-42.00  sec   245 KBytes  2.00 Mbits/sec  0.237 ms  0/173 (0%)  
[  5]  42.00-43.00  sec   245 KBytes  2.00 Mbits/sec  0.241 ms  0/173 (0%)  
[  5]  43.00-44.00  sec   243 KBytes  1.99 Mbits/sec  0.251 ms  0/172 (0%)  
[  5]  44.00-45.00  sec   245 KBytes  2.00 Mbits/sec  0.247 ms  0/173 (0%)  
[  5]  45.00-46.00  sec   245 KBytes  2.00 Mbits/sec  0.248 ms  0/173 (0%)  
[  5]  46.00-47.00  sec   243 KBytes  1.99 Mbits/sec  0.245 ms  0/172 (0%)  
[  5]  47.00-48.00  sec   245 KBytes  2.00 Mbits/sec  0.260 ms  0/173 (0%)  
[  5]  48.00-49.00  sec   243 KBytes  1.9-----------------------------------------------------------
Server listening on 5202 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 45314
[  5] local 192.168.5.2 port 5202 connected to 192.168.4.2 port 50837
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   245 KBytes  2.00 Mbits/sec  0.473 ms  0/173 (0%)  
[  5]   1.00-2.00   sec   245 KBytes  2.01 Mbits/sec  0.469 ms  0/173 (0%)  
[  5]   2.00-3.00   sec   245 KBytes  2.00 Mbits/sec  0.400 ms  0/173 (0%)  
[  5]   3.00-4.00   sec   243 KBytes  1.99 Mbits/sec  0.365 ms  0/172 (0%)  
[  5]   4.00-5.00   sec   245 KBytes  2.00 Mbits/sec  0.429 ms  0/173 (0%)  
[  5]   5.00-6.00   sec   243 KBytes  1.99 Mbits/sec  0.431 ms  0/172 (0%)  
[  5]   6.00-7.00   sec   245 KBytes  2.00 Mbits/sec  0.405 ms  0/173 (0%)  
[  5]   7.00-8.00   sec   245 KBytes  2.00 Mbits/sec  0.427 ms  0/173 (0%)  
[  5]   8.00-9.00   sec   243 KBytes  1.99 Mbits/sec  0.434 ms  0/172 (0%)  
[  5]   9.00-10.00  sec   245 KBytes  2.00 Mbits/sec  0.394 ms  0/173 (0%)  
[  5]  10.00-11.00  sec   245 KBytes  2.00 Mbits/sec  0.406 ms  0/173 (0%)  
[  5]  11.00-12.00  sec   243 KBytes  1.99 Mbits/sec  0.379 ms  0/172 (0%)  
[  5]  12.00-13.00  sec   245 KBytes  2.00 Mbits/sec  0.412 ms  0/173 (0%)  
[  5]  13.00-14.00  sec   245 KBytes  2.00 Mbits/sec  0.423 ms  0/173 (0%)  
[  5]  14.00-15.00  sec   243 KBytes  1.99 Mbits/sec  0.422 ms  0/172 (0%)  
[  5]  15.00-16.00  sec   245 KBytes  2.00 Mbits/sec  0.411 ms  0/173 (0%)  
[  5]  16.00-17.00  sec   245 KBytes  2.00 Mbits/sec  0.405 ms  0/173 (0%)  
[  5]  17.00-18.00  sec   243 KBytes  1.99 Mbits/sec  0.399 ms  0/172 (0%)  
[  5]  18.00-19.00  sec   245 KBytes  2.00 Mbits/sec  0.438 ms  0/173 (0%)  
[  5]  19.00-20.00  sec   245 KBytes  2.00 Mbits/sec  0.415 ms  0/173 (0%)  
[  5]  20.00-21.00  sec   243 KBytes  1.99 Mbits/sec  0.456 ms  0/172 (0%)  
[  5]  21.00-22.00  sec   245 KBytes  2.00 Mbits/sec  0.430 ms  0/173 (0%)  
[  5]  22.00-23.00  sec   243 KBytes  1.99 Mbits/sec  0.431 ms  0/172 (0%)  
[  5]  23.00-24.00  sec   245 KBytes  2.00 Mbits/sec  0.445 ms  0/173 (0%)  
[  5]  24.00-25.00  sec   245 KBytes  2.00 Mbits/sec  0.457 ms  0/173 (0%)  
[  5]  25.00-26.00  sec   245 KBytes  2.00 Mbits/sec  0.394 ms  0/173 (0%)  
[  5]  26.00-27.00  sec   243 KBytes  1.99 Mbits/sec  0.400 ms  0/172 (0%)  
[  5]  27.00-28.00  sec   245 KBytes  2.00 Mbits/sec  0.408 ms  0/173 (0%)  
[  5]  28.00-29.00  sec   243 KBytes  1.99 Mbits/sec  0.420 ms  0/172 (0%)  
[  5]  29.00-30.00  sec   245 KBytes  2.00 Mbits/sec  0.411 ms  0/173 (0%)  
[  5]  30.00-31.00  sec   245 KBytes  2.00 Mbits/sec  0.476 ms  0/173 (0%)  
[  5]  31.00-32.00  sec   243 KBytes  1.99 Mbits/sec  0.445 ms  0/172 (0%)  
[  5]  32.00-33.00  sec   245 KBytes  2.00 Mbits/sec  0.458 ms  0/173 (0%)  
[  5]  33.00-34.00  sec   245 KBytes  2.00 Mbits/sec  0.385 ms  0/173 (0%)  
[  5]  34.00-35.00  sec   243 KBytes  1.99 Mbits/sec  0.389 ms  0/172 (0%)  
[  5]  35.00-36.00  sec   245 KBytes  2.00 Mbits/sec  0.485 ms  0/173 (0%)  
[  5]  36.00-37.00  sec   245 KBytes  2.00 Mbits/sec  0.382 ms  0/173 (0%)  
[  5]  37.00-38.00  sec   243 KBytes  1.99 Mbits/sec  0.435 ms  0/172 (0%)  
[  5]  38.00-39.00  sec   245 KBytes  2.00 Mbits/sec  0.396 ms  0/173 (0%)  
[  5]  39.00-40.00  sec   245 KBytes  2.00 Mbits/sec  0.406 ms  0/173 (0%)  
[  5]  40.00-41.00  sec   243 KBytes  1.99 Mbits/sec  0.406 ms  0/172 (0%)  
[  5]  41.00-42.00  sec   245 KBytes  2.00 Mbits/sec  0.442 ms  0/173 (0%)  
[  5]  42.00-43.00  sec   245 KBytes  2.00 Mbits/sec  0.406 ms  0/173 (0%)  
[  5]  43.00-44.00  sec   243 KBytes  1.99 Mbits/sec  0.393 ms  0/172 (0%)  
[  5]  44.00-45.00  sec   245 KBytes  2.00 Mbits/sec  0.370 ms  0/173 (0%)  
[  5]  45.00-46.00  sec   245 KBytes  2.00 Mbits/sec  0.406 ms  0/173 (0%)  
[  5]  46.00-47.00  sec   243 KBytes  1.99 Mbits/sec  0.400 ms  0/172 (0%)  
[  5]  47.00-48.00  sec   245 KBytes  2.00 Mbits/sec  0.419 ms  0/173 (0%)  
[  5]  48.00-49.00  sec   243 KBytes  1.90-47.00  sec  1.84 MBytes  15.4 Mbits/sec  0.347 ms  395/1728 (23%)  
[  5]  47.00-48.00  sec  1.84 MBytes  15.4 Mbits/sec  0.329 ms  392/1724 (23%)  
[  5]  48.00-49.00  sec  1.84 MBytes  15.5 Mbits/sec  0.284 ms  395/1729 (23%)  
[  5]  49.00-50.00  sec  1.84 MBytes  15.4 Mbits/sec  0.350 ms  395/1727 (23%)  
[  5]  50.00-51.00  sec  1.84 MBytes  15.4 Mbits/sec  0.330 ms  392/1724 (23%)  
[  5]  51.00-52.00  sec  1.84 MBytes  15.4 Mbits/sec  0.300 ms  395/1728 (23%)  
[  5]  52.00-53.00  sec  1.84 MBytes  15.4 Mbits/sec  0.329 ms  395/1727 (23%)  
[  5]  53.00-54.00  sec  1.84 MBytes  15.4 Mbits/sec  0.308 ms  392/1725 (23%)  
[  5]  54.00-55.00  sec  1.84 MBytes  15.5 Mbits/sec  0.292 ms  394/1728 (23%)  
[  5]  55.00-56.00  sec  1.84 MBytes  15.4 Mbits/sec  0.357 ms  395/1727 (23%)  
[  5]  56.00-57.00  sec  1.84 MBytes  15.4 Mbits/sec  0.368 ms  393/1725 (23%)  
[  5]  57.00-58.00  sec  1.84 MBytes  15.5 Mbits/sec  0.295 ms  394/1728 (23%)  
