Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 46494
[  5] local 192.168.5.2 port 5201 connected to 192.168.4.2 port 56652
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  2.39 MBytes  20.0 Mbits/sec  0.025 ms  0/1728 (0%)  
[  5]   1.00-2.00   sec  2.24 MBytes  18.8 Mbits/sec  0.148 ms  92/1716 (5.4%)  
[  5]   2.00-3.00   sec  2.20 MBytes  18.4 Mbits/sec  0.153 ms  135/1727 (7.8%)  
[  5]   3.00-4.00   sec  2.20 MBytes  18.4 Mbits/sec  0.112 ms  135/1727 (7.8%)  
[  5]   4.00-5.00   sec  2.20 MBytes  18.4 Mbits/sec  0.070 ms  134/1726 (7.8%)  
[  5]   5.00-6.00   sec  2.20 MBytes  18.4 Mbits/sec  0.069 ms  135/1725 (7.8%)  
[  5]   6.00-7.00   sec  2.20 MBytes  18.4 Mbits/sec  0.135 ms  135/1726 (7.8%)  
[  5]   7.00-8.00   sec  2.20 MBytes  18.4 Mbits/sec  0.151 ms  136/1728 (7.9%)  
[  5]   8.00-9.00   sec  2.20 MBytes  18.4 Mbits/sec  0.123 ms  135/1727 (7.8%)  
[  5]   9.00-10.00  sec  2.20 MBytes  18.4 Mbits/sec  0.104 ms  135/1727 (7.8%)  
[  5]  10.00-11.00  sec  2.20 MBytes  18.4 Mbits/sec  0.063 ms  134/1726 (7.8%)  
[  5]  11.00-12.00  sec  2.20 MBytes  18.4 Mbits/sec  0.066 ms  135/1726 (7.8%)  
[  5]  12.00-13.00  sec  2.20 MBytes  18.4 Mbits/sec  0.133 ms  135/1725 (7.8%)  
[  5]  13.00-14.00  sec  2.20 MBytes  18.4 Mbits/sec  0.152 ms  136/1728 (7.9%)  
[  5]  14.00-15.00  sec  2.20 MBytes  18.4 Mbits/sec  0.120 ms  135/1727 (7.8%)  
[  5]  15.00-16.00  sec  2.20 MBytes  18.4 Mbits/sec  0.103 ms  135/1727 (7.8%)  
[  5]  16.00-17.00  sec  2.20 MBytes  18.4 Mbits/sec  0.072 ms  134/1725 (7.8%)  
[  5]  17.00-18.00  sec  2.20 MBytes  18.4 Mbits/sec  0.067 ms  135/1728 (7.8%)  
[  5]  18.00-19.00  sec  2.20 MBytes  18.4 Mbits/sec  0.117 ms  135/1725 (7.8%)  
[  5]  19.00-20.00  sec  2.20 MBytes  18.4 Mbits/sec  0.092 ms  134/1725 (7.8%)  
[  5]  20.00-21.00  sec  2.20 MBytes  18.4 Mbits/sec  0.165 ms  137/1729 (7.9%)  
[  5]  21.00-22.00  sec  2.20 MBytes  18.4 Mbits/sec  0.128 ms  135/1727 (7.8%)  
[  5]  22.00-23.00  sec  2.20 MBytes  18.4 Mbits/sec  0.106 ms  135/1727 (7.8%)  
[  5]  23.00-24.00  sec  2.20 MBytes  18.4 Mbits/sec  0.063 ms  134/1726 (7.8%)  
