Starting Q-learning controller with interval=5s
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=0.00; Q=0.000; epsilon=0.200
State=(0, 0, 0, 'balanced'); profile=balanced; reward=29.00; Q=5.800; epsilon=0.200
State=(0, 0, 1, 'balanced'); profile=balanced; reward=30.00; Q=6.000; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=6.000; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=11.880; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=17.642; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=23.290; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=28.824; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=34.247; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=protected; reward=29.50; Q=5.900; epsilon=0.200
State=(0, 0, 4, 'protected'); profile=protected; reward=30.00; Q=6.000; epsilon=0.200
State=(0, 0, 4, 'protected'); profile=protected; reward=30.00; Q=11.880; epsilon=0.200
State=(0, 0, 4, 'protected'); profile=protected; reward=30.00; Q=17.642; epsilon=0.200
State=(0, 0, 4, 'protected'); profile=protected; reward=30.00; Q=23.290; epsilon=0.200
State=(0, 0, 4, 'protected'); profile=balanced; reward=29.50; Q=12.065; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=39.562; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=44.771; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=49.876; epsilon=0.200
State=(0, 0, 4, 'balanced'); profile=balanced; reward=30.00; Q=54.878; epsilon=0.200
